Company,Inches,Cpu,Ram(in GB),Memory(in GB),Gpu,OpSys,Weight,Price_euros
Dell,15.6,Intel Core i7 8650U 1.9GHz,8,256,Intel UHD Graphics 620,Windows 10,1.88,1298
HP,17.3,Intel Core i5 8250U 1.6GHz,8,1024,Nvidia GeForce 930MX,Windows 10,2.5,896
Chuwi,15.6,Intel Atom x5-Z8300 1.44GHz,4,64,Intel HD Graphics,Windows 10,1.89,244.99
Asus,14,AMD E-Series E2-6110 1.5GHz,2,32,AMD Radeon R2,Windows 10,1.65,199
HP,17.3,AMD A6-Series 9220 2.5GHz,4,500,AMD Radeon 530,Windows 10,2.71,439
Dell,13.3,Intel Core i7 8550U 1.8GHz,16,512,Intel UHD Graphics 620,Windows 10,1.2,1869
Apple,13.3,Intel Core i5 1.6GHz,8,256,Intel HD Graphics 6000,Mac OS X,1.35,998
Lenovo,14,Intel Celeron Dual Core N3350 1.1GHz,4,64,Intel HD Graphics 500,Windows 10,1.44,249
Acer,15.6,Intel Core i3 7130U 2.7GHz,4,1024,Intel HD Graphics 620,Linux,2.1,367
Dell,17.3,Intel Core i5 8250U 1.6GHz,8,1024,AMD Radeon 530,Windows 10,2.8,979
HP,15.6,Intel Core i5 7200U 2.5GHz,4,1024,Intel HD Graphics 620,Windows 10,1.86,488.69
HP,15.6,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce 930MX ,Windows 10,2.1,879
Asus,15.6,Intel Core i3 6006U 2GHz,4,1024,Intel HD Graphics 620,Linux,2,389
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1060,Windows 10,2.65,1499
Asus,15.6,Intel Core i5 7200U 2.5GHz,8,1024,Nvidia GeForce 940MX,Linux,2.3,522.99
Acer,15.6,Intel Core i5 8250U 1.6GHz,4,256,Intel UHD Graphics 620,Windows 10,2.2,682
Dell,17.3,Intel Core i5 8250U 1.6GHz,12,1024,Nvidia GeForce 150MX,Windows 10,2.77,999
Apple,13.3,Intel Core i5 2.0GHz,8,256,Intel Iris Graphics 540,macOS,1.37,1419
Lenovo,15.6,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,No OS,2.2,369
Asus,17.3,AMD Ryzen 1700 3GHz,8,1024,AMD Radeon RX 580,Windows 10,3.2,1299
Dell,15.6,Intel Core i5 7200U 2.5GHz,4,256,AMD Radeon R5 M430,Windows 10,2.3,639
Asus,17.3,Intel Pentium Quad Core N4200 1.1GHz,4,1024,Nvidia GeForce 920MX,Windows 10,2.8,466
Lenovo,10.1,Intel Atom x5-Z8550 1.44GHz,4,64,Intel HD Graphics 400,Android,0.69,319
Acer,15.6,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce MX150,Windows 10,2.2,841
HP,15.6,AMD A6-Series 9220 2.5GHz,4,256,AMD Radeon R4 Graphics,Windows 10,1.86,398.49
HP,13.3,Intel Core i7 8550U 1.8GHz,8,512,Intel UHD Graphics 620,Windows 10,1.49,1103
Acer,15.6,Intel Core i3 7100U 2.4GHz,4,1024,Intel HD Graphics 620,Windows 10,2.4,384
Dell,15.6,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon 520,Windows 10,2.13,767.8
HP,15.6,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,Windows 10,1.91,439
Asus,15.6,Intel Core i5 7200U 2.5GHz,4,256,Intel HD Graphics 620,Windows 10,2,586.19
MSI,17.3,Intel Core i7 7700HQ 2.8GHz,16,2048,Nvidia GeForce GTX 1070,Windows 10,2.43,2449
Asus,15.6,Intel Core i3 6006U 2GHz,4,256,Intel HD Graphics 520,Linux,2,415
Dell,17.3,Intel Core i7 8550U 1.8GHz,16,2048,AMD Radeon 530,Windows 10,2.8,1299
Dell,14,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.7,879
Lenovo,14,Intel Core i3 7130U 2.7GHz,8,256,Intel HD Graphics 620,No OS,1.7,599
Asus,14,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.4,941
HP,15.6,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.86,690
Asus,15.6,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8,1983
HP,15.6,Intel Core i3 6006U 2GHz,4,500,AMD Radeon 520,Windows 10,1.86,438.69
HP,14,Intel Celeron Dual Core N3060 1.6GHz,4,32,Intel HD Graphics 400,Windows 10,1.44,229
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,4,1024,Intel HD Graphics 620,Windows 10,1.9,549
Asus,17.3,Intel Core i7 7700HQ 2.8GHz,12,1024,Nvidia GeForce GTX 1050 Ti,Linux,3,949
Microsoft,13.5,Intel Core i5 7200U 2.5GHz,4,128,Intel HD Graphics 620,Windows 10 S,1.252,1089
Dell,13.3,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon 530,Windows 10,1.4,955
Dell,15.6,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon 530,Windows 10,2.2,870
MSI,17.3,Intel Core i5 7300HQ 2.5GHz,8,1024,Nvidia GeForce GTX 1050,Windows 10,2.7,1095
Acer,14,Intel Core i3 6006U 2GHz,8,1024,Intel HD Graphics 520,Windows 10,2.1,389
Asus,15.6,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1050,Windows 10,2.2,949
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,8,2048,Intel HD Graphics 620,No OS,2.2,519
Dell,15.6,Intel Core i7 8550U 1.8GHz,8,1024,Intel UHD Graphics 620,Windows 10,2.02,855
Acer,15.6,Intel Core i3 7130U 2.7GHz,4,1024,Nvidia GeForce MX130,Windows 10,2.2,530
HP,17.3,Intel Core i5 8250U 1.6GHz,8,1024,Nvidia GeForce 930MX,Windows 10,2.5,977
Dell,15.6,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.88,1096.16
Apple,12,Intel Core i5 1.3GHz,8,512,Intel HD Graphics 615,macOS,0.92,1510
HP,14,Intel Core i5 8250U 1.6GHz,8,256,Intel HD Graphics 620,Windows 10,1.63,860
Lenovo,15.6,AMD A6-Series 9220 2.5GHz,4,128,AMD R4 Graphics,Windows 10,2.2,399
Acer,15.6,AMD A9-Series 9420 3GHz,4,1024,AMD Radeon R5,Windows 10,2.1,395
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65,1349
HP,15.6,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce GTX 940MX,Windows 10,1.83,699
HP,15.6,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.96,598.99
Asus,15.6,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1060,Windows 10,2.2,1449
Dell,13.3,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,1.21,1649
Asus,15.6,AMD FX 9830P 3GHz,8,1024,AMD Radeon RX 560,Windows 10,2.45,699
Acer,15.6,Intel Core i7 8550U 1.8GHz,8,1024,Nvidia GeForce MX150,Windows 10,2.2,689
HP,13.3,Intel Core i7 8550U 1.8GHz,16,512,Intel UHD Graphics 620,Windows 10,1.49,1197
Dell,15.6,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1060,Windows 10,2.65,1195
Asus,14,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,1.25,1049
Acer,13.3,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.5,847
Dell,15.6,Intel Core i7 7500U 2.7GHz,8,1024,AMD Radeon R5 M430,Linux,2.2,599.9
Dell,15.6,Intel Core i3 6006U 2GHz,4,256,AMD Radeon R5 M430,Linux,2.2,485
Asus,15.6,Intel Core i3 7100U 2.4GHz,6,256,Nvidia GeForce 920M,Windows 10,2,577
HP,15.6,Intel Core i7 7700HQ 2.8GHz,12,1024,Nvidia GeForce GTX 1050,Windows 10,2.62,1249
HP,15.6,Intel Core i7 7500U 2.7GHz,8,256,AMD Radeon 530,Windows 10,1.91,719
HP,15.6,AMD E-Series E2-9000e 1.5GHz,4,500,AMD Radeon R2,Windows 10,2.1,349
Dell,15.6,Intel Core i5 8250U 1.6GHz,8,1024,AMD Radeon 520,Linux,2.2,647
HP,13.3,Intel Core i7 7500U 2.7GHz,8,256,Nvidia GeForce MX150,Windows 10,1.38,1119
Microsoft,13.5,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10 S,1.252,1340
HP,14,Intel Core i5 7200U 2.5GHz,6,256,Nvidia GeForce 940MX,Windows 10,1.58,659
Lenovo,15.6,Intel Core i3 6006U 2GHz,4,1024,Intel HD Graphics 520,Windows 10,1.85,414.9
Asus,14,Intel Core i7 7500U 2.7GHz,8,256,Nvidia GeForce 940MX,Windows 10,1.3,1193
MSI,15.6,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2,1299
Lenovo,14,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,1.58,1480
Asus,15.6,Intel Core i7 8550U 1.8GHz,16,1024,Nvidia GeForce MX150,Windows 10,1.5,1262
Dell,13.3,Intel Core i7 7560U 2.4GHz,8,256,Intel Iris Plus Graphics 640,Windows 10,1.23,1379
Lenovo,13.3,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.37,1399
HP,14,Intel Core i5 8250U 1.6GHz,4,500,Intel UHD Graphics 620,Windows 10,1.63,722
Dell,13.3,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.21,1629
HP,13.3,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.26,1398.99
HP,14,Intel Core i7 8550U 1.8GHz,8,512,Intel UHD Graphics 620,Windows 10,1.63,1084
Dell,15.6,Intel Core i7 8550U 1.8GHz,8,1024,Nvidia GeForce 940MX,Windows 10,2.16,1130.33
Asus,17.3,Intel Core i3 6006U 2GHz,4,1024,Nvidia GeForce 920MX,Windows 10,2,564
Asus,15.6,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce 940MX,Windows 10,1.7,1118
Acer,15.6,Intel Core i3 7100U 2.4GHz,6,1024,Intel HD Graphics 620,Windows 10,2.1,479
MSI,15.6,Intel Core i7 7700HQ 2.8GHz,16,2048,Nvidia GeForce GTX 1070,Windows 10,1.8,2241.5
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce 940MX,No OS,2.2,629
HP,17.3,Intel Core i7 8550U 1.8GHz,16,512,Nvidia GeForce 930MX ,Windows 10,2.5,1271
Acer,15.6,AMD A9-Series 9420 3GHz,4,256,AMD Radeon R5,Windows 10,2.1,451
HP,15.6,Intel Celeron Dual Core N3060 1.6GHz,4,500,Intel HD Graphics 400,No OS,1.86,259
HP,14,Intel Core i5 8250U 1.6GHz,8,1024,Intel UHD Graphics 620,Windows 10,1.63,812
Asus,14,AMD E-Series 6110 1.5GHz,4,64,AMD Radeon R2,Windows 10 S,1.65,277.99
Dell,17.3,Intel Core i7 8550U 1.8GHz,16,2048,AMD Radeon 530,Windows 10,2.8,1396
HP,17.3,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,2.5,928
Dell,15.6,Intel Core i5 7200U 2.5GHz,8,1024,AMD Radeon R7 M445,Windows 10,2.36,638.99
Dell,15.6,Intel Core i3 6006U 2GHz,4,1024,AMD Radeon R5 M430,Windows 10,2.2,449
Acer,14,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,1.6,884
Acer,15.6,Intel Core i3 7130U 2.7GHz,4,256,Nvidia GeForce MX130,Windows 10,2.2,572
HP,15.6,Intel Core i7 7500U 2.7GHz,8,1024,Intel HD Graphics 620,Windows 10,2.05,598
HP,14,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,1.63,988
Lenovo,15.6,Intel Celeron Dual Core N3350 1.1GHz,4,1024,Intel HD Graphics 500,No OS,1.9,252.36
Asus,17.3,Intel Core i5 7300HQ 2.5GHz,8,1024,Nvidia GeForce GTX 1050,Windows 10,3,938
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,4,1024,Nvidia GeForce 920MX,No OS,2.2,499
HP,13.3,Intel Core i5 7200U 2.5GHz,4,256,Intel HD Graphics 620,Windows 10,1.32,699
Acer,17.3,Intel Core i3 7130U 2.7GHz,4,1024,Nvidia GeForce MX130,Windows 10,3,655
Lenovo,14,Intel Core i5 8250U 1.6GHz,8,256,AMD Radeon RX 550,Windows 10,1.75,1116.02
Lenovo,15.6,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050M,No OS,2.4,869
Toshiba,15.6,Intel Core i5 6200U 2.3GHz,4,500,Intel HD Graphics 520,Windows 10,2.1,602
HP,15.6,AMD A6-Series 9220 2.5GHz,4,256,AMD Radeon R4 Graphics,Windows 10,1.86,369
Asus,14,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,1.25,1099
HP,12.5,Intel Core M 6Y75 1.2GHz,8,512,Intel HD Graphics 515,Windows 10,0.97,2014
Asus,15.6,Intel Celeron Dual Core N3350 1.1GHz,4,1024,Intel HD Graphics 500,Windows 10,2,344
MSI,17.3,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1070,Windows 10,2.9,2029
Acer,15.6,Intel Core i3 6006U 2GHz,4,1024,Intel HD Graphics 520,Windows 10,2.1,447
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1050,Windows 10,2.56,1249.26
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1050,Windows 10,2.62,899
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,4,128,Intel HD Graphics 620,Windows 10,1.9,498
MSI,17.3,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1060,Windows 10,2.8,1890
HP,14,Intel Core i5 7500U 2.7GHz,4,256,Intel HD Graphics 620,Windows 10,1.48,1082
HP,15.6,Intel Core i5 8250U 1.6GHz,6,256,AMD Radeon 520,Windows 10,1.91,619
Lenovo,14,Intel Core i3 7100U 2.4GHz,4,256,Intel HD Graphics 620,Windows 10,1.74,629
Asus,13.3,Intel Core i5 8250U 1.6GHz,8,256,Intel HD Graphics 620,Windows 10,1.1,1315
Dell,15.6,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,1.56,1049
Toshiba,15.6,Intel Core i3 6006U 2.2GHz,4,500,Intel HD Graphics 520,Windows 10,2.1,447
Asus,15.6,AMD A9-Series 9420 3GHz,4,1024,AMD Radeon R5 M420,Windows 10,2.03,403
Acer,17.3,Intel Core i5 8250U 1.6GHz,4,256,Nvidia GeForce MX150,Windows 10,3,805
Dell,15.6,Intel Core i5 8250U 1.6GHz,8,256,AMD Radeon 520,Windows 10,2.13,728
Lenovo,15.6,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,1079
Acer,15.6,Intel Celeron Dual Core N3350 1.1GHz,4,1024,Intel HD Graphics 500,Windows 10,2.1,348
MSI,15.6,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1060,Windows 10,2.4,1799
Acer,15.6,Intel Pentium Quad Core N4200 1.1GHz,4,1024,Intel HD Graphics 505,Windows 10,2.1,363.51
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1050,Windows 10,2.56,1060.49
Acer,17.3,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce MX150,Windows 10,3,854
HP,13.3,Intel Core i5 8250U 1.6GHz,4,500,Intel UHD Graphics 620,Windows 10,1.49,754
Huawei,13,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.05,1349
HP,17.3,Intel Core i5 7200U 2.5GHz,6,2048,AMD Radeon 520,Windows 10,2.71,699
Lenovo,15.6,AMD A6-Series 9220 2.9GHz,4,500,AMD Radeon R4 Graphics,No OS,2.2,309
Toshiba,15.6,Intel Core i3 7100U 2.4GHz,4,500,Intel HD Graphics 620,Windows 10,2,489
HP,17.3,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce 930MX,Windows 10,2.5,923
Dell,15.6,Intel Core i3 7100U 2.4GHz,8,1024,Intel HD Graphics 620,Windows 10,2.3,459
Acer,15.6,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,Windows 10,2.1,449
MSI,18.4,Intel Core i7 6920HQ 2.9GHz,32,1024,Nvidia GTX 980 SLI,Windows 10,4.4,2799
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,8,1024,AMD R17M-M1-70,Windows 10,1.9,813
HP,13.3,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.29,1499
Dell,15.6,Intel Core i7 8550U 1.8GHz,16,1024,AMD Radeon 530,Linux,2.02,1049
Dell,13.3,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.23,1399
Lenovo,13.9,Intel Core i7 8550U 1.8GHz,16,512,Intel UHD Graphics 620,Windows 10,1.4,1849
Toshiba,15.6,Intel Core i5 7200U 2.5GHz,8,128,Intel HD Graphics 620,Windows 10,2,793
Xiaomi,15.6,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce MX150,No OS,1.95,1199
Dell,17.3,Intel Core i7 8550U 1.8GHz,16,512,Nvidia GeForce 150MX,Windows 10,2.77,1549
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1050,Windows 10,2.06,2397
Lenovo,15.6,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1050,No OS,2.4,779
Acer,13.3,Intel Core i5 7Y54 1.2GHz,8,256,Intel HD Graphics 615,Windows 10,1.12,989
Dell,17.3,Intel Core i7 8550U 1.8GHz,8,1024,AMD Radeon 530,Windows 10,2.8,1085
Lenovo,14,Intel Core i7 7500U 2.7GHz,16,1024,Intel HD Graphics 620,Windows 10,1.42,2824
Vero,14,Intel Celeron Dual Core N3350 1.1GHz,4,32,Intel HD Graphics 500,Windows 10,1.3,260
Xiaomi,13.3,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce MX150,No OS,1.3,999.9
Lenovo,17.3,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce MX150,No OS,2.8,698
Dell,13.3,Intel Core i7 8550U 1.8GHz,8,1024,Intel UHD Graphics 620,Windows 10,1.62,839
HP,17.3,Intel Core i5 8250U 1.6GHz,8,1024,Nvidia GeForce 930MX,Windows 10,2.5,914
Razer,17.3,Intel Core i7 7820HK 2.9GHz,32,1024,Nvidia GeForce GTX 1080,Windows 10,3.49,6099
HP,13.3,Intel Core i5 8250U 1.6GHz,8,512,Intel UHD Graphics 620,Windows 10,1.49,959
HP,17.3,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1050,Windows 10,3.35,1379
HP,17.3,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce 930MX ,Windows 10,2.5,1045
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1060,Windows 10,2.65,1845
Lenovo,15.6,Intel Core i5 6200U 2.3GHz,4,128,Intel HD Graphics 520,Windows 10,2.1,493
Acer,15.6,Intel Core i7 7500U 2.7GHz,8,1024,Nvidia GeForce 940MX,Windows 10,2.23,742
Lenovo,15.6,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1060,Windows 10,3.2,1749
Dell,15.6,Intel Xeon E3-1505M V6 3GHz,16,1024,Nvidia Quadro M1200,Windows 10,2.8,3055
Lenovo,15.6,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1060,No OS,2.4,1398
Dell,15.6,Intel Core i3 7100U 2.4GHz,6,1024,Intel HD Graphics 620,Windows 10,2.3,439
Dell,13.3,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,1.21,1949
Dell,13.3,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,1.2,1449
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,2.2,597
Acer,15.6,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1050,Linux,2.4,779
Asus,17.3,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1050,Windows 10,2.9,1407
HP,15.6,Intel Core i3 6006U 2GHz,4,500,Intel HD Graphics 520,No OS,2.1,349
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,No OS,2.2,549
Huawei,13,Intel Core i7 7500U 2.7GHz,8,512,Intel HD Graphics 620,Windows 10,1.05,1499
Dell,13.3,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon 530,Windows 10,1.4,931.88
Lenovo,17.3,Intel Core i5 7200U 2.5GHz,8,1024,Nvidia GeForce GTX 940MX,No OS,2.8,589
HP,14,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce 930MX,Windows 10,1.63,1031
Dell,14,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.6,1149
Dell,13.3,Intel Core i7 8550U 1.8GHz,16,512,Intel UHD Graphics 620,Windows 10,1.62,1279
Dell,15.6,Intel Core i5 8250U 1.6GHz,8,256,AMD Radeon 520,Linux,2.2,677.35
Lenovo,14,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.74,899
Toshiba,13.3,Intel Core i7 6500U 2.5GHz,8,256,Intel HD Graphics 520,Windows 10,1.2,1363
HP,15.6,Intel Core i5 8250U 1.6GHz,8,1024,Intel UHD Graphics 620,Windows 10,2.1,794
Dell,17.3,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1060,Windows 10,4.42,2456.34
Acer,15.6,Intel Core i7 7500U 2.7GHz,8,256,Nvidia GeForce 940MX,Windows 10,2.2,832
Dell,15.6,Intel Core i7 7500U 2.7GHz,16,1024,AMD Radeon R7 M445,Windows 10,2.3,859.01
Asus,15.6,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce 920MX ,Windows 10,2,769
Asus,17.3,Intel Core i5 7200U 2.5GHz,8,500,Nvidia GeForce GTX 950M,Windows 10,2.69,891
HP,15.6,Intel Core i7 7500U 2.7GHz,8,1024,AMD FirePro W4190M ,Windows 10,1.9,1269
Asus,15.6,Intel Core i3 7100U 2.4GHz,4,1024,Intel HD Graphics 620,Windows 10,2.37,398.99
HP,15.6,AMD E-Series 9000e 1.5GHz,4,500,AMD Radeon R2,Windows 10,2.1,330
Lenovo,15.6,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1060,Windows 10,3.2,1499
Dell,14,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.6,859
Acer,13.3,Intel Core i5 6200U 2.3GHz,8,256,Intel HD Graphics 520,Windows 10,1.6,689
Dell,15.6,Intel Core i7 7500U 2.7GHz,16,256,AMD Radeon R7 M445,Linux,2.36,899
Acer,15.6,Intel Core i3 6006U 2GHz,4,1024,Intel HD Graphics 520,Linux,2.1,390
Asus,15.6,AMD A10-Series A10-9620P 2.5GHz,4,1024,AMD Radeon R5 M430,Windows 10,2.2,575
Asus,17.3,Intel Core i7 7820HK 2.9GHz,32,1024,Nvidia GeForce GTX 1080,Windows 10,4.7,3890
Acer,15.6,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1050,Windows 10,2.5,846
Lenovo,15.6,Intel Core i3 6006U 2GHz,8,128,Intel HD Graphics 520,Windows 10,2.2,589
Asus,17.3,Intel Core i7 8550U 1.8GHz,8,1024,Nvidia GeForce 150MX,Windows 10,2.1,1145
Asus,17.3,Intel Core i7 7500U 2.7GHz,8,1024,Nvidia GeForce GTX 950M,No OS,2.69,889
Dell,15.6,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1050,Windows 10,2.56,879
Lenovo,13.9,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,1.38,1079
